height,sex,weight,age,experience,exercise frequency per week,reps,bench,curl,squat,pulldown,row,pushdown,toe,shoulder,rdl
71,True,171.52307254623042,74,1,4,15,55,20,75,45,55,20,85,20,45
56,True,131.06071123755336,71,1.5,8,15,95,30,125,65,90,30,120,30,60
68,False,172.7258036984353,33,1.5,8,5,95,30,125,55,90,30,125,30,55
52,False,95.0054054054054,75,1.5,1,10,65,20,80,40,55,20,85,20,45
85,False,288.5889046941678,72,1.5,3,5,125,40,160,85,125,40,165,40,85
69,True,158.474253200569,51,0.5,6,10,10,5,15,5,20,5,25,5,15
55,True,132.01564722617354,49,0.5,7,5,30,10,45,15,30,10,40,10,25
74,True,218.7284210526316,45,1.5,5,10,100,35,145,65,100,35,140,35,65
52,False,92.0052347083926,30,1,7,5,40,15,60,35,50,15,65,15,25
64,False,133.309359886202,58,1,2,10,45,15,55,25,40,15,65,15,25
61,True,145.87590327169275,39,0.5,5,15,35,10,35,20,25,10,40,10,25
48,True,97.99374110953059,76,1.5,2,10,80,25,105,45,80,25,100,25,45
58,True,102.02059743954482,52,1.5,2,5,60,20,75,35,65,20,80,20,35
52,False,90.00512091038406,56,0.5,3,15,10,5,25,10,15,5,25,5,15
58,False,140.589359886202,62,1.5,5,10,85,30,115,55,85,30,115,30,55
72,True,224.32045519203413,60,1.5,8,15,125,40,155,85,120,40,160,40,75
76,False,200.80432432432434,22,1.5,2,5,85,30,120,65,95,30,125,30,60
82,True,273.55106685633,69,0.5,1,5,30,10,35,25,35,10,45,10,25
75,False,180.99217638691323,16,1.5,3,5,95,30,125,55,85,30,120,30,55
74,False,184.29894736842107,51,1.5,5,5,90,30,120,65,95,30,125,30,55
66,False,149.8265718349929,50,1.5,7,15,70,25,95,50,80,25,100,25,50
55,True,98.45234708392603,37,1.5,1,15,65,20,85,35,65,20,85,20,40
63,False,167.34162162162164,23,1.5,5,5,85,30,125,65,85,30,125,30,60
57,False,129.77513513513514,16,0.5,8,5,15,5,15,5,15,5,15,5,10
79,False,253.90128022759603,68,1,1,15,70,25,95,50,80,25,105,25,55
59,True,137.7545092460882,39,1.5,4,10,95,30,115,60,85,30,125,30,60
68,False,165.88517780938838,80,1,7,10,60,20,85,45,60,20,85,20,40
50,False,75.81792318634425,37,1.5,8,10,50,15,60,30,40,15,60,15,35
79,False,223.8947652916074,56,1,4,5,60,20,75,40,65,20,80,20,35
65,True,173.44736842105263,55,0.5,8,15,35,10,40,20,30,10,40,10,15
66,False,149.8265718349929,60,1.5,5,15,75,25,105,55,80,25,100,25,55
75,False,222.599573257468,70,1.5,1,10,105,35,135,65,110,35,135,35,75
75,False,201.7958748221906,17,1.5,5,15,100,35,140,70,100,35,140,35,65
59,True,117.1557041251778,25,1.5,5,10,75,25,100,55,70,25,105,25,55
61,False,150.004466571835,69,1.5,4,5,85,30,115,55,95,30,120,30,60
68,False,164.17502133712662,48,0.5,8,5,25,10,40,25,35,10,35,10,25
82,True,231.27499288762448,28,1.5,3,10,100,35,135,75,105,35,145,35,70
82,True,228.7881650071124,52,0.5,1,5,25,10,35,20,25,10,40,10,25
80,False,260.3698435277383,27,1.5,5,5,120,40,155,75,115,40,165,40,75
63,True,135.04762446657185,26,1,8,10,45,15,60,35,40,15,65,15,35
67,True,134.47843527738266,34,1,7,15,50,15,65,35,40,15,65,15,25
83,False,259.8809103840683,34,0.5,7,15,30,10,35,20,35,10,45,10,15
79,True,205.42921763869134,62,0.5,8,5,30,10,35,25,35,10,40,10,15
71,True,156.6080227596017,52,1.5,1,10,80,25,105,55,75,25,100,25,55
52,True,117.00665718349929,34,1.5,7,5,70,25,105,45,80,25,95,25,50
84,True,310.5442958748222,21,1.5,3,10,130,45,185,95,130,45,180,45,90
84,True,237.47504978662874,67,1.5,8,10,105,35,145,70,110,35,135,35,70
80,False,239.0668563300142,50,1.5,8,10,100,35,135,65,100,35,135,35,75
57,False,135.78324324324325,57,1.5,1,15,85,30,115,55,90,30,125,30,65
52,True,98.00557610241822,69,1.5,1,15,55,20,75,40,65,20,85,20,35
62,True,145.01120910384068,68,1.5,3,15,95,30,115,60,85,30,120,30,55
58,True,148.05428165007115,19,1,3,15,65,20,80,45,60,20,75,20,35
63,False,160.00207681365578,48,1,7,10,55,20,80,40,60,20,85,20,45
72,False,172.55419630156473,40,1.5,2,15,85,30,115,55,95,30,115,30,65
75,False,239.2425320056899,17,1.5,2,5,120,40,155,80,120,40,160,40,85
75,False,187.23328591749643,38,1.5,8,15,95,30,115,55,90,30,115,30,65
72,True,157.21604551920342,51,1,7,15,40,15,60,35,45,15,60,15,35
68,False,169.30549075391184,71,1.5,3,5,95,30,125,60,95,30,115,30,60
75,False,185.1529160739687,35,1.5,1,10,85,30,120,60,90,30,115,30,60
64,False,130.27960170697014,57,1.5,7,5,80,25,105,45,70,25,95,25,55
67,True,194.24662873399717,78,1,1,10,70,25,100,50,70,25,95,25,55
77,True,245.59385490753914,19,1,6,10,75,25,105,45,75,25,100,25,55
59,False,131.3173826458037,76,0.5,8,5,20,5,20,5,15,5,15,5,10
61,False,150.004466571835,80,1.5,4,10,85,30,125,55,90,30,120,30,60
81,True,196.55001422475107,58,0.5,3,10,30,10,45,25,25,10,40,10,15
83,True,219.1152773826458,77,1,1,15,55,20,75,45,55,20,80,20,45
79,False,253.90128022759603,20,1.5,2,5,115,40,160,85,125,40,160,40,85
76,False,196.5318918918919,64,0.5,7,5,30,10,35,25,25,10,35,10,20
68,True,162.4648648648649,60,1.5,8,5,90,30,115,60,90,30,125,30,60
77,True,230.24423897581792,74,1.5,6,15,105,35,140,65,110,35,145,35,70
69,True,183.1258036984353,65,1.5,8,15,95,30,115,60,85,30,120,30,55
73,True,199.0605120910384,63,1.5,7,5,105,35,135,65,100,35,140,35,65
72,False,176.38873399715504,27,1.5,3,15,85,30,125,60,95,30,120,30,60
66,False,132.1051493598862,30,1.5,6,5,75,25,105,45,75,25,100,25,50
48,False,101.40221906116643,70,1.5,8,5,80,25,100,45,80,25,105,25,50
58,False,111.973826458037,50,1.5,1,5,70,25,105,50,80,25,105,25,55
63,True,152.6625320056899,19,1.5,1,5,95,30,115,65,95,30,120,30,60
61,False,150.004466571835,72,1.5,1,5,85,30,120,55,95,30,120,30,60
84,True,305.3250640113798,29,1.5,8,5,140,45,180,95,130,45,180,45,95
85,True,299.27738264580364,48,1.5,2,5,135,45,180,95,135,45,175,45,95
65,True,170.3221906116643,59,1,1,5,65,20,85,40,55,20,85,20,40
72,True,214.73411095305835,59,1,3,15,75,25,105,45,75,25,105,25,50
85,True,269.8840682788051,16,1.5,7,5,125,40,155,75,115,40,165,40,80
85,False,229.8022759601707,44,1,4,15,65,20,80,40,60,20,75,20,45
51,True,91.38648648648649,75,0.5,3,10,10,5,25,10,20,5,25,5,5
78,True,186.76062588904696,22,1.5,4,5,85,30,120,65,90,30,115,30,55
74,False,220.75368421052633,17,1.5,8,5,105,35,145,65,105,35,140,35,65
80,False,241.4338549075391,80,0.5,4,15,25,10,45,20,35,10,45,10,15
60,False,129.14935988620198,33,1.5,4,15,75,25,100,45,70,25,100,25,55
80,True,229.59886201991463,48,1.5,4,5,100,35,135,70,105,35,140,35,70
77,True,186.38819345661454,22,1.5,7,10,85,30,115,60,90,30,115,30,60
69,False,200.73405405405407,80,1,7,5,70,25,100,55,70,25,105,25,45
68,True,152.2039260312945,68,0.5,5,15,15,5,15,10,15,5,15,5,10
73,True,224.68216216216217,51,1.5,2,15,120,40,165,85,125,40,155,40,75
48,True,71.57803698435278,63,1.5,8,15,50,15,65,30,45,15,55,15,25
72,False,157.21604551920342,20,1,2,5,40,15,55,30,40,15,55,15,25
83,True,214.019573257468,30,1.5,2,15,85,30,115,55,95,30,125,30,65
80,False,267.4708392603129,29,0.5,8,5,25,10,45,15,35,10,35,10,20
76,False,237.12000000000003,65,0.5,4,5,30,10,40,15,25,10,35,10,20
55,False,89.50213371266004,68,1,3,15,25,10,35,25,25,10,40,10,20
60,True,133.14366998577523,77,1.5,4,5,80,25,105,45,80,25,105,25,45
51,False,105.81593172119489,74,0.5,4,10,20,5,20,5,10,5,15,5,10
64,True,149.97302987197725,24,0.5,6,10,25,10,45,15,30,10,35,10,15
66,True,136.93826458036986,28,1.5,2,10,70,25,100,55,70,25,100,25,55
79,True,210.04560455192038,33,0.5,5,10,35,10,35,20,25,10,40,10,20
53,True,102.85015647226174,37,1,4,5,50,15,55,35,50,15,55,15,35
64,False,145.42839260312945,65,1,4,10,50,15,55,35,40,15,60,15,30
83,True,236.95024182076813,40,1.5,5,5,100,35,135,75,105,35,135,35,70
69,True,146.14847795163587,44,1,3,10,50,15,55,35,40,15,65,15,30
67,True,172.66366998577527,68,0.5,2,5,25,10,35,15,30,10,45,10,25
57,False,114.15405405405407,40,0.5,2,15,15,5,15,15,15,5,20,5,10
59,True,145.47906116642957,69,1,2,15,60,20,80,45,65,20,85,20,40
73,False,230.5948506401138,30,0.5,5,5,30,10,35,20,30,10,40,10,20
69,True,147.90930298719775,50,0.5,1,10,20,5,20,5,20,5,15,5,5
57,True,110.5491891891892,72,1.5,2,5,80,25,100,50,75,25,105,25,50
58,True,141.8335135135135,72,1,1,10,65,20,75,45,55,20,75,20,45
77,True,201.73780938833573,35,1.5,2,10,95,30,125,65,95,30,120,30,55
50,False,96.1593172119488,30,1.5,2,5,70,25,95,45,75,25,100,25,45
50,False,85.06401137980085,66,1.5,5,5,60,20,80,40,55,20,85,20,35
72,False,207.06503556187766,80,0.5,6,10,25,10,45,15,30,10,40,10,25
53,True,100.77237553342816,73,1.5,2,15,55,20,85,35,60,20,75,20,35
59,False,119.7305547652916,21,1,6,15,50,15,55,30,50,15,65,15,25
83,True,285.35943100995735,81,0.5,8,15,35,10,40,25,35,10,40,10,20
73,True,212.8567852062589,33,1.5,6,15,100,35,145,65,110,35,135,35,75
51,False,81.76685633001422,72,0.5,4,15,15,5,25,5,10,5,20,5,15
65,False,181.2603129445235,52,0.5,2,15,25,10,40,20,25,10,45,10,15
56,False,107.8641251778094,72,0.5,7,5,10,5,25,15,20,5,20,5,15
48,False,91.17678520625888,63,0.5,3,15,10,5,25,15,10,5,20,5,15
73,False,167.52617354196303,51,1,7,5,65,20,75,45,60,20,75,20,40
62,False,125.10770981507824,38,1,4,5,45,15,55,30,40,15,55,15,35
52,True,98.00557610241822,19,1.5,7,10,60,20,80,45,60,20,85,20,40
74,True,192.4,44,0.5,3,15,30,10,45,15,25,10,45,10,20
72,False,220.4859174964438,32,1,4,5,75,25,105,55,80,25,95,25,50
81,False,242.6543385490754,64,1.5,5,5,110,35,135,75,100,35,140,35,70
69,True,197.21240398293034,41,1,7,15,65,20,75,40,60,20,85,20,35
84,True,245.30389758179228,80,0.5,4,10,25,10,45,25,30,10,35,10,20
54,False,89.5124893314367,44,0.5,3,10,20,5,20,15,20,5,15,5,10
52,True,114.00648648648648,61,0.5,5,10,15,5,20,10,10,5,20,5,10
53,True,83.11123755334282,36,1,6,15,25,10,45,20,25,10,40,10,25
73,False,214.8276813655761,60,0.5,2,10,30,10,45,20,30,10,35,10,20
60,False,149.12091038406825,71,1,5,10,60,20,80,40,55,20,80,20,45
82,False,276.03789473684213,43,1.5,7,10,120,40,160,80,125,40,165,40,85
81,True,252.3605120910384,41,1.5,1,10,115,40,160,80,115,40,155,40,75
57,False,108.14594594594595,71,1,5,15,50,15,65,30,50,15,55,15,30
85,False,248.5071123755334,56,1.5,4,15,110,35,140,70,100,35,135,35,75
72,False,161.05058321479373,27,1,3,15,45,15,55,25,40,15,65,15,30
49,False,87.02344238975819,62,0.5,3,10,10,5,20,15,15,5,20,5,10
69,False,186.64745376955906,42,1.5,1,5,100,35,145,75,100,35,140,35,70
63,False,167.34162162162164,34,1.5,4,15,90,30,125,65,85,30,125,30,60
74,True,196.4505263157895,32,1,4,15,60,20,85,35,65,20,80,20,40
73,True,193.14782361308676,63,1.5,3,15,90,30,115,65,85,30,125,30,65
76,False,217.89405405405407,33,1.5,1,5,105,35,140,70,105,35,140,35,70
60,False,123.82361308677096,66,0.5,2,15,20,5,25,5,15,5,25,5,15
73,False,175.40975817923186,16,0.5,6,5,35,10,35,25,35,10,35,10,20
50,False,85.98862019914651,16,1,3,15,25,10,45,25,30,10,35,10,20
63,False,146.7908961593172,46,0.5,5,10,25,10,45,20,30,10,40,10,25
78,False,225.01280227596015,75,0.5,8,5,30,10,40,15,25,10,45,10,20
57,True,108.14594594594595,30,1.5,1,5,55,20,85,40,55,20,75,20,35
70,False,179.41109530583213,68,1,7,5,65,20,75,45,65,20,75,20,35
65,False,156.2588904694168,69,1.5,4,10,85,30,115,65,95,30,115,30,60
63,True,136.515533428165,79,1.5,2,10,70,25,95,45,80,25,100,25,50
57,False,121.3637837837838,32,1.5,6,15,80,25,100,45,80,25,100,25,50
66,True,136.93826458036986,21,1.5,2,15,70,25,100,45,80,25,105,25,50
72,False,159.13331436699858,52,1.5,7,15,80,25,100,55,70,25,105,25,45
84,False,253.1327453769559,52,0.5,3,15,30,10,45,20,30,10,40,10,20
60,False,115.83499288762445,67,0.5,4,5,15,5,20,15,15,5,25,5,10
52,True,82.00466571834994,73,0.5,4,10,20,5,20,15,20,5,20,5,15
83,True,290.45513513513515,47,1.5,7,5,140,45,180,90,140,45,185,45,90
76,True,224.30270270270273,61,1.5,5,10,110,35,145,65,100,35,140,35,70
83,True,242.04594594594593,41,1.5,1,5,110,35,140,65,100,35,135,35,70
68,True,201.7984637268848,54,1.5,4,15,105,35,135,75,100,35,145,35,70
58,False,111.973826458037,51,1,6,15,40,15,55,30,45,15,65,15,35
78,False,200.26139402560457,34,1,3,5,55,20,75,45,55,20,80,20,35
81,True,269.3463157894737,36,1.5,4,10,120,40,155,75,115,40,160,40,80
56,False,98.58549075391181,17,1,3,5,45,15,65,30,50,15,55,15,25
83,True,285.35943100995735,28,1,8,5,95,30,115,65,85,30,125,30,65
59,False,115.8682788051209,62,1.5,8,5,75,25,100,50,80,25,105,25,55
83,True,290.45513513513515,80,1,1,15,95,30,120,60,90,30,115,30,60
56,False,128.74105263157895,81,1.5,7,5,95,30,120,60,95,30,120,30,65
48,False,92.88102418207681,81,1,4,15,45,15,55,35,50,15,65,15,25
72,True,197.47869132290182,19,1.5,2,5,100,35,135,65,110,35,145,35,75
75,True,218.43883357041253,30,1,3,10,70,25,95,55,80,25,100,25,55
73,False,199.0605120910384,76,1.5,2,5,105,35,135,75,100,35,140,35,70
71,False,171.52307254623042,49,1,8,5,55,20,80,35,65,20,75,20,35
75,True,201.7958748221906,21,1.5,8,10,105,35,140,70,110,35,140,35,75
64,False,139.36887624466573,64,0.5,7,5,10,5,20,5,10,5,25,5,10
78,True,207.01177809388338,68,1.5,7,10,95,30,125,55,95,30,115,30,60
81,False,259.64014224751065,41,1,7,15,80,25,95,45,80,25,105,25,50
85,True,296.60526315789474,38,1.5,8,10,135,45,185,90,140,45,180,45,85
65,False,153.13371266002846,16,0.5,6,15,35,10,35,15,35,10,40,10,20
51,True,111.58770981507823,29,1.5,1,5,70,25,95,45,70,25,105,25,45
56,False,110.18378378378378,27,0.5,8,15,10,5,25,5,20,5,15,5,5
80,True,215.39687055476531,45,1.5,4,5,105,35,145,75,110,35,145,35,75
77,True,232.4370412517781,47,1.5,1,15,110,35,135,65,100,35,135,35,75
85,True,272.55618776671406,77,1.5,6,10,115,40,165,80,120,40,160,40,75
53,False,101.81126600284495,53,0.5,4,10,10,5,20,5,20,5,20,5,10
66,False,178.82526315789477,37,1.5,1,15,105,35,135,70,110,35,145,35,70
53,False,123.62796586059746,16,0.5,6,10,35,10,35,25,25,10,40,10,25
83,True,275.1680227596017,30,0.5,8,10,25,10,35,15,30,10,40,10,25
58,False,149.29843527738265,58,1.5,7,5,85,30,125,60,95,30,125,30,60
82,True,256.14327169274543,38,1.5,8,5,115,40,160,75,120,40,155,40,75
53,True,120.5112944523471,44,1.5,3,10,80,25,95,55,70,25,95,25,55
71,False,158.4724039829303,74,1,5,15,45,15,60,25,50,15,55,15,30
68,True,179.56642958748225,75,1,6,10,55,20,80,45,55,20,75,20,40
85,False,280.572546230441,48,1,1,5,75,25,100,55,75,25,95,25,55
50,True,88.7624466571835,58,0.5,5,10,10,5,25,5,20,5,25,5,5
65,False,167.19701280227596,70,0.5,7,10,30,10,35,25,35,10,35,10,20
69,True,174.3216785206259,81,0.5,1,15,30,10,35,20,25,10,45,10,25
50,False,110.95305832147936,70,0.5,5,15,10,5,20,15,10,5,25,5,5
53,True,95.57792318634425,36,1,3,5,50,15,55,25,45,15,65,15,25
65,False,187.51066856330016,19,1,2,10,80,25,100,45,80,25,95,25,50
76,False,183.7145945945946,26,1.5,8,15,85,30,115,60,90,30,115,30,55
80,True,229.59886201991463,74,0.5,7,15,35,10,40,20,30,10,45,10,25
49,True,76.36751066856331,53,0.5,7,15,20,5,15,15,20,5,15,5,5
66,True,144.99345661450926,78,1.5,7,5,80,25,100,50,80,25,100,25,55
71,False,171.52307254623042,74,0.5,7,10,35,10,40,15,35,10,35,10,20
85,True,264.5398293029872,40,0.5,4,15,30,10,35,20,30,10,35,10,15
60,True,157.1095305832148,42,1.5,2,15,95,30,115,65,90,30,115,30,65
49,False,104.78332859174965,69,1,3,15,40,15,60,35,50,15,60,15,30
53,False,108.04460881934567,55,1.5,2,10,75,25,95,50,75,25,100,25,50
78,False,200.26139402560457,72,1.5,6,15,95,30,115,65,90,30,125,30,65
55,True,98.45234708392603,29,1,6,15,45,15,65,35,40,15,65,15,35
74,True,226.82947368421054,77,1.5,7,10,115,40,155,80,115,40,165,40,75
48,True,73.2822759601707,76,1,1,15,30,10,35,15,35,10,35,10,15
81,True,218.38890469416788,16,1.5,1,15,110,35,140,75,110,35,140,35,75
80,False,236.69985775248932,71,1,5,10,80,25,100,55,70,25,105,25,45
75,False,183.07254623044096,67,1.5,7,10,90,30,115,55,95,30,120,30,65
81,True,203.82964438122335,71,1.5,2,10,85,30,115,65,90,30,125,30,55
53,False,97.65570412517782,47,1.5,8,5,55,20,85,40,65,20,80,20,40
70,False,179.41109530583213,65,1.5,6,5,95,30,125,60,85,30,125,30,60
70,False,202.9701280227596,41,0.5,8,5,30,10,40,25,35,10,35,10,15
52,True,103.00586059743955,61,1.5,8,10,80,25,105,45,75,25,95,25,45
53,True,101.81126600284495,78,1.5,6,15,80,25,100,55,80,25,100,25,50
54,True,97.06173541963017,17,1,1,10,45,15,55,35,50,15,65,15,30
70,False,202.9701280227596,59,1,5,15,80,25,95,50,70,25,100,25,45
76,True,222.1664864864865,44,0.5,6,10,35,10,40,25,25,10,35,10,20
56,True,119.46241820768137,40,1.5,2,5,70,25,100,55,80,25,105,25,55
83,True,234.40238975817923,61,1.5,2,15,110,35,145,65,110,35,140,35,75
65,True,159.38406827880513,47,1,5,15,65,20,75,35,65,20,85,20,40
65,True,159.38406827880513,38,1.5,3,5,95,30,120,65,85,30,115,30,65
67,False,182.62503556187767,75,1.5,8,5,110,35,140,70,100,35,135,35,65
59,True,145.47906116642957,44,1.5,1,5,85,30,115,60,90,30,125,30,55
85,False,267.21194879089614,30,0.5,3,10,30,10,45,25,30,10,45,10,15
75,True,224.67994310099573,19,1.5,5,15,110,35,140,75,105,35,140,35,75
70,False,212.03129445234705,18,1.5,1,10,105,35,135,65,105,35,145,35,75
76,True,220.0302702702703,79,0.5,3,5,30,10,45,25,35,10,35,10,20
62,False,167.7580654338549,47,1,5,10,55,20,80,40,55,20,85,20,45
55,True,95.09601706970129,40,1.5,5,15,55,20,80,40,60,20,75,20,45
54,False,108.92483641536273,55,0.5,8,5,15,5,25,5,15,5,25,5,10
82,False,211.38036984352775,61,1.5,3,15,95,30,120,60,85,30,120,30,55
56,False,115.98293029871978,56,1.5,4,10,80,25,95,45,75,25,95,25,50
85,True,259.19559032716927,62,0.5,1,10,30,10,45,25,30,10,45,10,20
84,True,245.30389758179228,30,1.5,8,5,110,35,145,75,110,35,135,35,65
70,True,186.66002844950214,31,0.5,1,5,30,10,45,25,30,10,45,10,25
75,False,174.75106685633,30,1,8,15,55,20,75,40,60,20,85,20,45
53,False,109.08349928876245,57,0.5,5,5,15,5,25,15,15,5,25,5,15
52,False,86.004893314367,37,1.5,6,15,65,20,75,35,55,20,85,20,35
62,False,145.01120910384068,19,1.5,5,15,90,30,120,65,90,30,125,30,55
64,False,156.03254623044097,74,1,6,5,65,20,80,45,65,20,75,20,35
56,True,92.78634423897581,55,1,1,10,25,10,35,20,30,10,45,10,20
53,True,115.31684210526316,62,1.5,2,15,70,25,95,55,70,25,100,25,45
58,False,145.56597439544808,63,1.5,4,15,90,30,125,65,85,30,125,30,60
70,False,217.46799431009956,76,1.5,1,10,120,40,155,80,125,40,165,40,75
52,True,102.00580369843529,74,1.5,5,15,75,25,100,55,80,25,100,25,45
78,False,209.26190611664296,48,1,7,5,55,20,80,45,55,20,75,20,45
82,True,266.09058321479375,29,1,8,10,75,25,100,50,80,25,95,25,50
79,False,235.43573257467997,21,1.5,7,15,100,35,135,65,105,35,135,35,70
55,True,129.77809388335706,74,1,3,15,60,20,80,40,55,20,75,20,40
53,True,83.11123755334282,72,1.5,8,10,55,20,80,45,55,20,85,20,40
61,True,112.84739687055476,22,0.5,5,5,15,5,20,5,15,5,15,5,5
58,True,104.50890469416787,22,0.5,2,15,10,5,15,5,15,5,15,5,15
58,False,119.43874822190614,62,1.5,1,5,75,25,100,55,75,25,100,25,45
58,True,106.9972119487909,31,1,2,15,50,15,55,30,50,15,55,15,25
52,False,98.00557610241822,19,1.5,5,15,55,20,85,40,65,20,85,20,40
75,False,197.63513513513513,72,1,7,5,65,20,80,45,60,20,80,20,40
81,True,245.08088193456612,36,1.5,1,5,105,35,140,75,105,35,145,35,70
80,False,241.4338549075391,60,1.5,2,10,100,35,145,70,110,35,135,35,70
79,True,244.668506401138,72,1,4,15,80,25,100,55,80,25,95,25,55
69,True,211.29900426742535,79,1,3,5,80,25,100,50,70,25,95,25,50
56,True,126.42139402560457,34,0.5,5,5,20,5,20,15,10,5,15,5,5
61,True,137.61877667140826,36,1.5,1,5,80,25,100,55,70,25,95,25,55
53,True,113.23906116642961,42,1.5,2,5,70,25,105,45,75,25,100,25,50
51,True,92.34844950213372,78,1.5,2,15,65,20,80,40,55,20,80,20,45
73,True,212.8567852062589,59,1.5,6,5,110,35,140,75,100,35,140,35,65
53,True,91.4223613086771,40,0.5,7,15,10,5,15,5,15,5,25,5,10
51,True,107.73985775248933,22,1.5,2,10,70,25,105,50,80,25,95,25,55
79,False,216.97018492176386,41,1.5,3,10,105,35,140,75,110,35,135,35,65
83,True,242.04594594594593,79,1.5,8,10,110,35,135,70,110,35,135,35,70
83,True,275.1680227596017,21,1.5,3,10,115,40,160,85,120,40,160,40,80
59,True,151.91618776671407,59,1.5,2,5,90,30,115,55,95,30,125,30,60
83,True,234.40238975817923,68,0.5,5,5,30,10,35,20,30,10,45,10,25
74,True,206.57684210526315,70,1.5,8,5,110,35,135,70,110,35,135,35,70
69,False,167.2783783783784,24,1,4,15,65,20,80,40,65,20,85,20,35
81,True,232.94816500711238,75,1.5,8,10,110,35,135,65,105,35,140,35,70
53,True,85.1890184921764,51,1,4,10,25,10,45,20,35,10,45,10,15
55,False,124.1842105263158,56,1.5,5,10,70,25,95,55,70,25,100,25,45
75,True,237.16216216216216,78,0.5,2,5,25,10,35,20,35,10,45,10,25
68,False,164.17502133712662,27,0.5,6,10,25,10,40,20,35,10,45,10,20
80,True,198.82788051209104,73,1.5,4,5,90,30,120,60,85,30,115,30,60
62,True,117.9993172119488,43,1,4,10,45,15,55,35,45,15,65,15,25
84,True,305.3250640113798,72,0.5,4,10,40,15,55,30,50,15,55,15,30
52,False,120.0068278805121,16,0.5,8,15,20,5,25,10,20,5,25,5,5
68,True,201.7984637268848,19,1.5,5,10,110,35,145,65,100,35,145,35,75
73,False,171.46796586059745,62,0.5,2,5,25,10,40,15,30,10,45,10,20
72,True,212.81684210526316,18,0.5,8,10,30,10,40,15,30,10,45,10,15
64,False,139.36887624466573,39,0.5,7,15,10,5,25,10,15,5,25,5,15
76,True,173.03351351351353,29,0.5,8,5,20,5,20,5,20,5,20,5,10
75,True,245.48364153627313,66,1.5,3,5,115,40,165,80,125,40,165,40,85
82,False,233.76182076813657,62,1.5,5,15,105,35,140,75,110,35,145,35,65
78,False,195.76113798008538,35,1.5,7,5,85,30,120,55,90,30,115,30,65
59,True,104.28145092460882,38,1,4,15,40,15,55,35,45,15,65,15,35
66,True,162.71487908961595,53,1,4,5,60,20,80,40,65,20,85,20,45
49,False,72.81553342816501,75,1.5,1,5,40,15,65,25,50,15,55,15,25
